City,DH_VU,DH_RU,DH_RS,DH_VS,GS_VU,GS_RU,GS_RS,GS_VS,QA_VU,QA_RU,QA_RS,QA_VS,SL_VU,SL_RU,SL_RS,SL_VS,GJ_VU,GJ_RU,GJ_RS,GJ_VS,SN_VU,SN_RU,SN_RS,SN_VS,GH_VU,GH_RU,GH_RS,GH_VS,A_15_24,A_25_39,A_40_54,A_55_100
Graz,3.72163388804841,10.0655572365103,34.3217347453353,51.8910741301059,8.27022114510754,18.1763102090276,37.5643744319903,35.9890942138746,14.1185962081484,35.2258975393304,36.1234368697055,14.5320693828157,2.22489476849068,7.40629384646222,25.826819001804,64.5419923832431,5.26990789320275,32.0158563600326,49.5044887489798,13.2097469977848,5.89194699286442,19.3985728848114,38.0530071355759,36.6564729867482,28.2053985660059,45.8245466048081,18.5892028679882,7.38085196119781,20.28,24.06,19.5,36.16
Wien,5.31648109138329,11.9670980038118,41.2077440064199,41.508676898385,1.70854271356784,11.4974874371859,34.6834170854271,52.1105527638191,5.99657913270953,16.6817587282423,43.0324982392595,34.2891638997887,1.80062367971029,10.2404184689669,19.2636555678503,68.6953022834725,16.2381747356706,27.245409015025,40.7790762381747,15.7373400111297,6.74679325320675,15.6953843046157,37.4305625694374,40.1272598727401,36.6878715194494,40.410887475232,15.5073521743665,7.39388883095213,18.59,17.67,23.33,40.41
Antwerpen,3.25007523322299,5.35660547697863,37.6667669776307,53.7265523121677,6.24432563300716,11.3386462221326,48.0076667002925,34.4093614445677,14.5200486026731,20.0283515593358,48.2584042122317,17.1931956257594,2.23357371794872,5.97956730769231,33.603766025641,58.1830929487179,13.9547772112614,23.3540234981157,46.3311904234094,16.3600088672135,8.70183999186744,18.6438954965945,41.4862254752465,31.1680390362915,29.6835443037975,40.6434599156118,19.873417721519,9.79957805907173,14.4,29.4,24.04,32.15
Bruxelles,4.74304286004469,8.73451147674182,44.8100751574243,41.7123705057891,5.76456310679612,8.97046925566343,47.6537216828479,37.6112459546926,11.9279060348319,36.5633859862292,44.6435803969218,6.86512758201701,4.24,9.3,48.11,38.35,25.3904913920876,36.8943107969445,27.4997149697868,10.2154828411812,14.9770759042282,25.3082017320428,45.0534895568008,14.6612328069282,42.936401931573,39.5972464810439,11.969587999589,5.4967635877941,15.37,31.78,26.03,26.83
Liège,4.03177156645888,6.97767946913332,52.020912929821,36.9696360345868,6.69175226278857,16.4751347503305,51.9576934811349,24.875419505746,14.4162645035425,28.9762809323339,42.8791457028442,13.7283088612794,3.80914194065758,6.71611868484363,52.0148356054531,37.4599037690457,24.6060210846647,38.8653407238344,25.8558852298663,10.6727529616346,21.9143321153065,34.5716605765327,35.0385708485587,8.47543645960211,27.0528256860831,36.8261199696279,28.6473587156958,7.47369562859312,15.15,26.13,23.76,34.96
Burgas,22.8323993886908,31.6352521650535,34.2638818135507,11.268466632705,6.80032238565384,11.7771509167842,43.5019141648197,37.9206125327423,25.4960114542851,36.6025772141542,30.3845367150747,7.51687461648599,3.48487883036251,7.97115962347286,29.3310634888844,59.2128980572802,26.7313019390582,29.3735350522054,32.0690389942468,11.8261240144897,12.5520040588534,21.298833079655,46.2100456621005,19.9391171993912,26.1787157611136,26.4930399640772,30.7476425684778,16.5806017063314,10.44,25.68,27.52,36.35
Sofia,17.9594760540319,32.5010233319689,35.8063855914859,13.7331150225133,10.1565677104514,22.742984953233,43.8694591297275,23.230988206588,24.5253976398153,34.5100051308363,32.2319138019497,8.73268342739867,6.97791164658635,11.7369477911647,50.3413654618474,30.9437751004016,14.5543397429087,20.0148730479125,38.7442898119622,26.6864973972166,24.3311458859162,27.5618374558304,32.6804644119132,15.4265522463402,22.7450980392157,27.3559120617944,34.5335710041592,15.3654188948307,11.61,30.51,25.4,32.47
Zagreb,12.7505287541545,25.3701279081479,39.2990230637526,22.580320273945,8.20985182218663,16.1393672406888,44.0228273928714,31.6279535442531,10.1948252757448,28.687764148026,44.3768683640862,16.7405422121431,4.86041373769833,8.76682064671621,33.8120104438642,52.5607551717212,43.1176770249618,23.4131431482425,26.6327050433011,6.83647478349465,7.6417004048583,12.6821862348178,39.251012145749,40.4251012145749,34.5376026964399,27.4489151042764,27.9123657046556,10.1011164946282,16.09,22.2,20.11,41.6
Lefkosia,12.3681785604587,19.0641957612368,42.9302754172213,25.6373502610832,18.1268273011392,25.4360318580502,35.8806331283396,20.556507712471,6.93806754412815,21.610039791858,47.3625140291807,24.0893786348332,3.75300240192154,10.0180144115292,45.7666132906325,40.4623698959167,35.6180496150556,33.0731394354149,23.0645851154833,8.24422583404619,10.8680310515173,21.0101824780724,34.5800988002823,33.541687670128,33.7515541991636,26.5739798801854,28.2694698767944,11.4049960438567,20.68,27.92,20.5,30.9
Ostrava,7.34312416555407,12.5500667556742,49.0602855088836,31.0465235698881,5.25996971226653,10.5906108026249,46.7844522968198,37.3649671882887,35.1345881400526,31.886257842542,28.8200769075086,4.15907710989678,4.66425412143144,11.8114193807801,44.1395255327704,39.3848009650181,32.4376405095814,32.3734075580773,24.3335831281447,10.8553688041966,21.2875891288623,33.2334401157383,31.3113568254624,14.167613929937,16.2618083670715,30.8029689608637,39.8335582546109,13.1016644174539,13.15,19.71,20.98,46.15
Praha,5.55443953394938,12.2036962635597,52.8224186420249,29.4194455604661,5.80683983552302,14.1510380102297,46.9962892387925,33.0458329154548,12.056952438655,27.7087751186509,46.9049782894072,13.3292941532869,2.96273978105855,4.22818117907,53.5000502159285,39.309028823943,6.80721627858192,14.4954898258863,49.947556114957,28.7497377805748,10.2059637257916,27.6155343785224,47.6278307203607,14.5506711753253,33.1825355076276,41.5044713308785,18.0115728563914,7.30142030510258,11.83,24.66,20.32,43.2
Aalborg,5.94982078853047,12.1044546850998,40.8294930875576,41.1162314388121,4.20774468950097,8.03943490192093,42.0469559914625,45.7058644171156,3.58092899529364,9.59688970738694,40.8430529977491,45.9791282995703,2.06092289132402,5.49914547099628,18.3271338091887,74.112797828491,14.2294498793038,25.2953881336552,39.5756574768136,20.8995045102274,4.68972533062055,10.5900305188199,29.70498474059,55.0152594099695,9.92080950285966,21.9863616366036,43.07083150022,25.0219973603168,24.4,21.22,19.67,34.71
København,6.06403788736745,12.1177802944507,40.2244414701946,41.5937403479872,4.28804237115502,6.4677123650438,41.0368710531677,48.2073742106335,11.7349571679224,22.2004334812674,45.8148415729177,20.2497677778925,1.06682769726248,3.21054750402576,22.8764090177134,72.8462157809984,14.8230606983829,21.9240684321537,40.1687368174361,23.0841340520272,3.72840254622613,8.88147923613216,40.214206325149,47.1759118924927,51.3805141225008,34.3277266476251,11.6365175076695,2.65524172220459,22.87,35.93,17.27,23.93
Tallinn,12.9883624272652,28.6367414796342,43.1733167082294,15.2015793848712,2.7898326100434,12.4405868981194,49.5970241785493,35.1725563132879,6.36734693877551,19.3367346938775,52.1020408163265,22.1938775510204,1.81690423609717,6.66532824733989,42.0096366191528,49.5081308974102,9.01979956000978,26.3749694451234,44.3901246638964,20.2151063309704,5.8583384364156,15.0745050010206,53.6333945703205,25.4337619922433,27.8009208506906,41.602718702039,19.3817145362859,11.2146459109844,12.03,29.99,23.41,34.56
Helsinki,7.25665536026313,20.9579607359441,49.4192620002056,22.3661219035872,2.39611768274189,7.27934485896269,54.9590536851683,35.3654837731271,2.60852049551818,9.23557256521301,60.882264074932,27.2736428643368,2.61009775269576,6.32873123047465,33.9615035775471,57.0996674392825,12.7817878956135,31.7823431426985,36.7240421987784,18.7118267629095,5.23693308928208,14.3685173886516,38.2041895464714,42.1903599755949,47.4893881354177,35.997515270732,11.6989336370225,4.81416295682783,12.91,32.03,23.1,31.96
Oulu,10.4042684178124,22.8811820233942,47.2193720500718,19.4951775087215,3.26684306940769,9.0677793608793,60.1058416446163,27.5595359250967,3.35173105870547,11.2694430506774,53.4972403411942,31.881585549423,2.07352499248723,7.06200540919563,33.1864169087449,57.6780526895723,21.3103904698875,43.0730200750055,25.2371497904258,10.3794396646812,4.40264361972547,12.7503812913066,33.5027961362481,49.3441789527199,8.11681563084598,24.1218041987113,45.531074620661,22.2303055497818,18.94,27.34,22.76,30.96
Bordeaux,5.93271555197421,8.80338436744561,49.9496373892023,35.3142626913779,6.49389936472724,9.48875668044772,47.0908540889382,36.9264898658869,7.62232106752932,23.1904569348969,53.0832996360696,16.1039223615042,2.8042063094642,5.62844266399599,38.8382573860791,52.7290936404607,16.9047363333691,37.4073676296853,34.1316722156589,11.5562238212867,9.43804034582133,23.5693701111569,41.1692054343351,25.8233841086867,31.1341051121811,44.9031861489602,15.9512345046614,8.01147423419732,24.12,21.91,17.63,36.34
Lille,5.31581606872158,9.22688226376958,48.822637695806,36.6346639717029,6.32463064157053,12.4165148755313,51.953045942117,29.3058085407812,17.9160725198615,27.7653289875738,43.430433896924,10.8881645956407,4.68374699759808,8.78702962369896,49.4495596477182,37.0796637309848,22.6988002972715,40.5244718122943,28.2514067310755,8.52532115935874,17.394863399161,27.7089941676046,43.5383198608411,11.3578225723933,27.7888970820605,40.40872221637,21.8792794690825,9.9231012324871,24.98,22.26,17.83,34.93
Marseille,6.28024193548387,14.7379032258065,46.5625,32.4193548387097,13.9704393601944,21.4010933387325,45.3330633731525,19.2954039279206,23.2280275415148,31.5714864317537,36.4823815309842,8.71810449574727,8.46394984326019,12.4987359692588,45.7680250783699,33.2692891091111,24.9030172413793,39.1487068965517,27.6939655172414,8.25431034482759,24.1379310344828,33.2325065537407,27.5559588626739,15.0736035491026,32.9791666666667,37.5520833333333,21.7083333333333,7.76041666666667,19.59,19.63,20.06,40.73
